# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.380095000000006422e+01,-1.538821999999999912e+00,1.000000000009313226e+03,1.003155796345735240e+02,-2.842170943040400743e-14,5.293955920339377119e-23,3.079841087522015505e-04,-1.221559198147288694e-02,-9.815534602302694367e+00,-1.274142610492163783e+02,-3.252140506803671040e-07,0.000000000000000000e+00,-1.499211252630587316e-03,6.529276024474197282e-04,-3.608913185379031188e-03
1.900000000000000022e-01,5.380084597170416316e+01,-1.539051725722500041e+00,9.999999043345451355e+02,1.003150774683144135e+02,9.771330026563546448e-03,3.453613846652572872e-02,-1.184622011986422030e-03,-9.735211252888892677e-03,-9.810022540813214675e+00,-1.274197883883201428e+02,1.914392538016519013e-02,3.927022140712513321e-03,-5.443826339866411623e-02,1.549447126835706290e-01,4.503181848452667002e-01
3.900000000000000133e-01,5.380073646910088314e+01,-1.539293539959714741e+00,9.999995925212278962e+02,1.003141851466571097e+02,-2.106350004882107194e-03,3.746926856329019229e-02,-6.710419708329125842e-04,-1.063644525746612612e-02,-9.810326077201391826e+00,-1.274131023502071542e+02,2.019488548502570285e-02,-1.591708379129230452e-02,3.102698949745417711e-01,-2.430762971168082542e-01,2.336319604233151326e-01
5.919999999999999707e-01,5.380062587201035740e+01,-1.539537768510772731e+00,9.999990568393841386e+02,1.003130404969510465e+02,7.343576893804419897e-04,4.451089739485315777e-02,-1.523305282052424790e-03,-1.013458957885016512e-02,-9.811141064480338514e+00,-1.274149996541785583e+02,2.359550909132760235e-02,-1.432465447072418449e-02,-2.163672117335718459e-01,-7.516489131227092890e-02,-2.160024925098929793e-01
7.900000000000000355e-01,5.380051746543196600e+01,-1.539777156562884386e+00,9.999983192589133978e+02,1.003118892968999916e+02,2.680855115329722985e-03,6.036699325051817638e-02,-1.121619006071397640e-03,-1.039259410963005309e-02,-9.811083740806317621e+00,-1.274164959929844656e+02,3.204816401545908244e-02,-2.447572044541370881e-02,9.595920752492284600e-02,-2.136478767750977781e-01,-8.260544171276625047e-02
9.899999999999999911e-01,5.380040796400434289e+01,-1.540018957769697883e+00,9.999973624181002378e+02,1.003107653917321045e+02,7.349531649976475713e-03,4.923262220155272262e-02,-1.514711034962148810e-03,-1.006364272673348353e-02,-9.810603469070606764e+00,-1.274196480842398103e+02,2.507994986886987604e-02,-2.814786146196228064e-02,-1.380013838955963246e-01,-6.979749203751035858e-02,1.772762864275722328e-01
1.191999999999999948e+00,5.380029735706706617e+01,-1.540263196290940328e+00,9.999998838528990746e+02,1.003137160419759084e+02,-4.432301896357648298e-03,-2.683341461524362242e-03,-1.373988331290604790e-03,-1.006276070771153393e-02,-9.810434878704340278e+00,-1.274126219724431621e+02,-2.131165348670541627e-03,-2.178548562185508419e-03,4.965487346393263448e-04,-1.219262996892043899e-01,2.729974870362854023e-01
1.389999999999999902e+00,5.380018894829127163e+01,-1.540502583794411740e+00,9.999995721550658345e+02,1.003134110469933802e+02,-7.846665814406078229e-03,1.299588356336057668e-02,-1.214048937615791988e-03,-1.023601252214702273e-02,-9.810119002890685280e+00,-1.274106555047690676e+02,6.213442096018953649e-03,4.781507938627168122e-03,1.143138048353167444e-02,-1.031268245352794655e-01,3.903879380588252124e-01
1.590000000000000080e+00,5.380007944513021556e+01,-1.540744387821855854e+00,9.999990396248176694e+02,1.003128652649483001e+02,-2.350503285213501048e-02,1.493304858105902640e-02,-5.974337853383671158e-04,-1.017413940986997868e-02,-9.810619180440983911e+00,-1.274016183797909036e+02,6.695127330564955119e-03,5.730299117107907902e-03,3.408493484650813587e-01,-2.845522423595251912e-02,1.164799633095326831e-01
1.790000000000000036e+00,5.379996994281637512e+01,-1.540986190412167334e+00,9.999982914598658681e+02,1.003123991005612794e+02,-1.849354588659019027e-02,1.841002547634976172e-02,-6.721182153250980073e-04,-9.547072481810917749e-03,-9.810326166632277634e+00,-1.274043438629299203e+02,8.069084484867976304e-03,8.080402084847853120e-04,2.299594981380023995e-01,3.088794749727640232e-01,2.963306939057130385e-01
