# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.380095000000006422e+01,-1.538821999999999912e+00,1.000000000009313226e+03,1.003155796345735240e+02,-2.842170943040400743e-14,5.293955920339377119e-23,3.079841087522015505e-04,-1.221559198147288694e-02,-9.815534602302694367e+00,-1.274142610492163783e+02,-3.252140506803671040e-07,0.000000000000000000e+00,-1.499211252630587316e-03,6.529276024474197282e-04,-3.608913185379031188e-03
1.900000000000000022e-01,5.380084597127678592e+01,-1.539051725806700022e+00,9.999999985964968801e+02,1.003155089655971040e+02,1.924238633161834367e-03,6.710643813841562361e-03,-8.935848970053662538e-05,-1.335587269107276105e-02,-9.817450001292236550e+00,-1.274155263265055993e+02,3.816759896750421179e-03,7.795439014922479846e-04,4.105833915472725977e-03,2.009410274321073511e-02,-6.656887711953419183e-03
3.900000000000000133e-01,5.380073646704128265e+01,-1.539293540972237473e+00,9.999999909903854132e+02,1.003153602960518072e+02,-4.721015956000391761e-04,7.134730688276271632e-03,7.889113002746718766e-05,-1.361696036845431133e-02,-9.817473848610994480e+00,-1.274143645550280297e+02,4.039581605176607165e-03,-3.179874483942784352e-03,-8.213065678067043782e-03,1.032752477856902981e-02,-2.366413009992434876e-04
5.919999999999999707e-01,5.380062586736168129e+01,-1.539537772470948251e+00,9.999999766964465380e+02,1.003151626248990738e+02,6.460926345565157246e-05,8.365154672480525772e-03,-1.020640623087520340e-04,-1.354251401488984485e-02,-9.817641203023933727e+00,-1.274149149148642692e+02,4.725250321415209835e-03,-2.862302989428647682e-03,-4.827145909803650520e-03,7.889045927179639400e-03,-1.105815738213904728e-03
7.900000000000000355e-01,5.380051745737094393e+01,-1.539777165817965976e+00,9.999999568890780210e+02,1.003149625350174148e+02,4.216147925911973779e-04,1.135715695430187036e-02,-7.417650707034449675e-05,-1.350565158947544635e-02,-9.817754333562485058e+00,-1.274153796160186261e+02,6.418751526811485378e-03,-4.889649585413161775e-03,-6.218707891676204629e-03,8.074929311846593474e-03,-1.440179717152378913e-03
9.899999999999999911e-01,5.380040795186234703e+01,-1.540018975266973733e+00,9.999999314462766051e+02,1.003147673207289330e+02,1.319614343618225223e-03,8.954269418517145362e-03,-1.734156076158443636e-04,-1.342664616951901903e-02,-9.817609227977252218e+00,-1.274161774336767081e+02,5.030234128381742484e-03,-5.622004984479932362e-03,-5.683543329127360884e-03,4.892747740793400822e-03,-1.993677951366542959e-03
1.191999999999999948e+00,5.380029735077112463e+01,-1.540263200769461882e+00,9.999998998343944550e+02,1.003145840670791955e+02,-7.182311749445631239e-04,7.723493976344455482e-03,-2.221489017085531226e-04,-1.331187905168172009e-02,-9.817598971335678826e+00,-1.274153080149782369e+02,4.309228969393767532e-03,-5.925752455009016852e-03,-4.931335356779168941e-03,3.328987171575855785e-03,-8.453985944007006694e-04
1.389999999999999902e+00,5.380018893926813917e+01,-1.540502588138435991e+00,9.999998627714812756e+02,1.003143934524981233e+02,-1.617417242751238715e-03,1.068302083143457537e-02,-7.502089256947175322e-05,-1.349913877496474596e-02,-9.817462446477303928e+00,-1.274150827460282898e+02,5.981958491766262154e-03,-4.532471722803796572e-03,-3.003437231200254982e-03,4.145014890678940141e-03,-5.222040657926286860e-04
1.590000000000000080e+00,5.380007943223974820e+01,-1.540744391493287679e+00,9.999998184368014336e+02,1.003141535932609401e+02,-4.967644316626995682e-03,1.089481744866196110e-02,5.163541746446682033e-05,-1.344289374486093772e-02,-9.817585025267757004e+00,-1.274134451963783334e+02,6.083653879455730093e-03,-4.341252608547688241e-03,-2.415717525111219215e-03,3.589466495086821723e-03,7.231249510031854998e-04
1.790000000000000036e+00,5.379996992478587714e+01,-1.540986192788869280e+00,9.999997679609805346e+02,1.003139278660306957e+02,-4.184024836112131517e-03,1.141379797387824524e-02,3.029999850482517111e-05,-1.329305684351769247e-02,-9.817542752289272201e+00,-1.274141599138297352e+02,6.363182200817702090e-03,-5.325145982001843435e-03,-2.784938072652670595e-03,3.300945475734777101e-03,1.326383884832796974e-04
